127.0.0.1 [30/Apr/2022:00:40:32 -0700] PUBLISH "live" "1" "" - 17982691 529 "" "FMLE/3.0 (compatible; FMSc/1.0)" (55s)
127.0.0.1 - - [30/Apr/2022:01:01:00 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 206 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:01:08 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 234 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:01:08 -0700] "GET /hls/stream1-4.ts HTTP/1.1" 200 1954260 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:01:08 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 234 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:01:14 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 262 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:01:14 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 262 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:01:14 -0700] "GET /hls/stream1-5.ts HTTP/1.1" 200 1997876 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:01:20 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 290 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:01:20 -0700] "GET /hls/stream1.m3u8 HTTP/1.1" 200 290 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
127.0.0.1 - - [30/Apr/2022:01:01:20 -0700] "GET /hls/stream1-6.ts HTTP/1.1" 200 2848388 "http://localhost/viewer.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.41 Safari/537.36 Edg/101.0.1210.32"
